Fecha de muestreo ,Punto de Muestreo,Profundidad secchi (m),Zona fótica (m),pH,Temperatura Media      (°C),OD                        (mg/l),%OD,Conductividad (us/cm),Redox,Fósforo Total     (ug/L P- PO4- ),Nitratos             (ug/L N-NO3-),N. amonical             (ug/L N-NH4+),Manganeso          (mg/l),Color Real (PtCo),Turbiedad (NTU),N total              (mg/l),TOC                  (mg/l),"UV 
(cm-1)",SUVA,Clorofila-a            (ug/l),Feopigmentos,Algas eucariotas totales (cél/ml),Cianobacterias totales (cél/ml),Coliformes totales,E.coli,F- N,CL- N,NO2- N,NO3- N,PO4- N,SO4- N,NH4+ N,K N,NT N,NT Orgánico N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-15,Torre Media,2.72,7.36,7.1,18.90,6.5,90.13,48.7,-,10,111.512,47.287,0.017,11,3,0.370,1.9411,0.058,3.0,8.29,8.29,1030,1505,-,-,0.024,2.93,0.007,0.494,-,2.048,0.061,0.764,0.370,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-15,Torre Profunda,2.72,7.36,7.0,18.30,4.4,60.50,54.5,-,30,125.959,108.527,0.030,10,5,0.424,1.8507,0.060,3.2,0.59,2.72,597,333,-,-,0.020,3.508,0.001,0.558,-,2.352,0.140,0.781,0.424,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-15,Presa,3.07,8.30,7.0,18.89,5.9,82.65,46.4,-,20,102.483,93.023,0.077,12,3,0.426,2.0782,0.066,3.2,4.74,3.14,1465,333,-,-,0.021,2.395,0.005,0.454,-,1.652,0.120,0.778,0.426,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-15,Potreros,2.22,6.01,7.8,20.43,8.0,114.03,46.4,-,10,83.747,17.054,0.025,10,3,0.311,1.9484,0.061,3.1,5.92,5.69,2885,333,3654,52,0.022,2.728,0.007,0.371,-,1.820,0.022,0.669,0.311,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-15,Palmas-Esp.Santo,2.29,6.19,7.7,20.13,8.0,114.63,54.3,-,10,93.679,10.853,0.030,10,3,0.310,1.9571,0.059,3.0,8.29,5.80,3450,1070,4106,175,0.019,3.637,0.007,0.415,-,2.389,0.014,0.699,0.310,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-15,Descarga Bombeo,2.35,6.36,7.9,20.43,7.9,113.23,44.1,-,10,96.840,10.078,0.019,7,2,0.324,1.9685,0.055,2.8,3.55,10.13,1625,333,3255,295,0.021,2.517,0.008,0.429,-,1.757,0.013,0.702,0.324,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Torre Superficial,2.07,5.60,8.3,21.00,10.0,146.93,49.4,-,30,141.761,58.140,0.008,11,3,0.551,1.9247,0.059,3.1,17.18,4.80,2430,557,-,-,0.034,4.011,0.034,0.628,-,2.933,0.075,1.125,0.551,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-15,Torre Media,2.07,5.60,7.9,20.73,10.0,145.30,48.9,-,30,164.786,64.341,0.018,19,6,0.643,1.6959,0.063,3.7,17.77,5.45,1232,333,-,-,0.020,6.121,0.024,0.730,-,4.078,0.083,1.060,0.643,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Torre Profunda,2.07,5.60,7.4,20.37,9.9,142.90,55.5,-,20,179.007,85.271,0.037,13,7,0.625,1.7321,0.068,3.9,13.00,6.50,745,333,-,-,0.016,7.025,-,0.793,-,4.792,0.110,1.097,0.625,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Presa,1.85,5.00,7.6,19.25,6.7,95.42,52.3,-,10,102.483,207.752,0.156,23,4,0.714,1.8723,0.102,5.5,15.40,6.16,985,370,-,-,0.047,3.145,-,0.454,-,2.292,0.268,1.115,0.714,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Potreros,1.80,4.87,8.0,21.90,9.1,135.63,50.8,-,10,131.828,49.612,0.022,10,4,0.508,1.9519,0.063,3.2,10.07,4.03,1845,333,-,-,0.017,3.991,-,0.584,-,2.873,0.064,0.939,0.508,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Palmas-Esp.Santo,1.74,4.71,7.8,22.05,10.0,149.55,65.4,-,20,145.598,51.938,0.018,15,4,0.525,1.8497,0.066,3.6,5.33,2.96,1715,1070,-,-,0.016,6.505,-,0.645,-,4.447,0.067,1.029,0.525,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-15,Descarga Bombeo,1.80,4.87,9.3,21.30,10.5,154.65,47.7,-,20,118.059,32.558,0.009,8,3,0.521,1.9606,0.059,3.0,16.59,2.07,1785,333,-,-,0.025,3.223,-,0.523,-,2.531,0.042,1.002,0.521,0.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Torre Superficial,1.75,4.73,8.2,20.47,7.8,111.73,51.3,-,10,156.208,37.984,0.005,2,5,0.437,-,-,-,6.52,3.44,51,852,-,-,0.020,3.813,0.050,0.692,-,2.743,0.049,1.141,0.437,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-15,Torre Media,1.75,4.73,7.5,18.93,6.5,91.87,67.6,-,40,240.181,27.907,0.016,4,4,0.553,-,-,-,7.70,4.32,40,28,-,-,0.020,5.845,0.031,1.064,-,4.029,0.036,0.788,0.553,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Torre Profunda,1.75,4.73,7.6,18.60,5.8,80.10,74.8,-,60,253.047,15.504,0.057,1,6,0.598,-,-,-,3.55,2.25,20,333,-,-,0.020,6.825,0.023,1.121,-,4.802,0.020,0.395,0.598,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Presa,1.80,4.87,7.2,19.30,5.3,76.07,48.5,-,80,154.628,41.860,0.156,2,5,0.593,-,-,-,21.32,13.92,185,333,-,-,0.023,2.77,0.035,0.685,-,1.906,0.054,0.373,0.593,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Potreros,1.87,5.06,8.6,20.83,7.8,114.20,48.0,-,40,138.375,44.186,0.025,1,5,0.408,-,-,-,5.33,3.79,40,500,-,-,0.023,3.362,0.053,0.613,-,2.463,0.057,0.259,0.408,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Palmas-Esp.Santo,1.63,4.41,8.3,20.40,7.9,114.60,53.3,-,60,153.950,3.876,0.012,1,5,0.395,-,-,-,8.29,2.49,25,700,-,-,0.020,3.919,0.049,0.682,-,2.826,0.005,0.457,0.395,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,Descarga Bombeo,1.95,5.27,9.3,21.30,10.5,154.65,47.7,-,80,159.368,37.209,0.010,1,3,0.418,-,-,-,10.66,4.26,35,333,-,-,0.023,2.691,0.057,0.706,-,1.988,0.048,1.208,0.418,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Torre Superficial,0.78,2.11,9.2,21.17,9.5,139.57,57.0,-,10,90.971,14.729,0.005,9,7,0.303,2.5892,0.081,3.1,46.20,12.68,30114,378,9804,1187,0.023,4.325,0.022,0.403,-,4.506,0.019,0.985,0.303,0.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-15,Torre Media,0.78,2.11,7.7,19.13,6.5,91.40,59.2,-,40,151.693,103.101,0.016,10,10,0.506,2.2840,0.079,3.5,30.80,13.15,19220,333,-,-,0.022,5.277,0.023,0.672,-,6.989,0.133,1.107,0.506,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Torre Profunda,0.78,2.11,7.9,18.85,6.0,84.20,68.3,-,60,181.490,100.775,0.057,12,11,0.531,2.2553,0.084,3.7,21.32,4.38,7632,333,-,-,-,6.736,0.023,0.804,-,7.202,0.130,1.102,0.531,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Presa,0.97,2.62,7.4,18.69,5.3,73.65,47.3,-,80,124.605,169.767,0.156,12,5,0.600,2.2188,0.093,4.2,36.13,12.79,8625,333,-,-,0.017,3.061,0.026,0.552,-,3.243,0.219,1.111,0.600,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Potreros,0.80,2.16,9.8,22.40,9.4,141.87,56.5,-,40,5.869,0.000,0.025,12,5,0.317,2.5649,0.081,3.2,45.61,10.78,31112,333,1623,110,-,4.42,0.005,0.026,-,4.283,-,0.946,0.317,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Palmas-Esp.Santo,0.76,2.06,9.1,21.57,9.0,133.73,67.4,-,60,117.833,0.000,0.012,13,5,0.378,2.2256,0.079,3.5,40.28,6.57,27025,8600,12033,1664,0.022,6.226,0.023,0.522,-,6.468,-,1.082,0.378,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-15,Descarga Bombeo,0.95,2.57,7.9,19.50,7.8,110.60,46.1,-,80,144.018,0.000,0.010,7,3,0.473,2.1782,0.072,3.3,10.07,3.61,8225,333,11199,1333,0.025,3.307,0.032,0.638,-,3.419,-,1.104,0.473,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Torre Superficial,1.90,5.14,9.4,20.70,9.4,136.23,-,-,40,249.436,8.527,0.012,24,5,0.571,2.8356,0.102,3.6,22.51,6.93,1871,1338,24196,613,0.039,3.796,0.054,1.105,-,2.620,0.011,1.632,0.571,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-15,Torre Media,1.90,5.14,7.7,18.97,6.6,92.37,-,-,30,301.129,46.512,0.011,17,8,0.639,2.6737,0.100,3.7,7.70,3.91,378,999,-,-,0.013,4.142,0.073,1.334,-,2.865,0.060,1.614,0.639,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Torre Profunda,1.90,5.14,8.0,19.00,6.2,87.25,-,-,40,299.323,55.814,0.022,20,16,0.649,2.5674,0.192,7.5,10.66,4.68,225,666,-,-,0.012,5.8,0.048,1.326,-,4.045,0.072,1.716,0.649,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Presa,1.77,4.79,7.4,19.33,6.3,90.19,-,-,60,200.677,237.984,0.140,29,5,0.699,2.7703,0.273,9.9,21.32,6.04,472,666,-,-,0.039,3.413,0.039,0.889,-,2.067,0.307,1.532,0.699,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Potreros,1.66,4.49,9.2,20.93,9.0,131.77,-,-,30,244.921,8.527,0.029,10,5,0.595,2.7625,0.101,3.7,7.11,4.50,735,666,8820,63,0.035,3.727,0.047,1.085,-,2.521,0.011,1.604,0.595,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Palmas-Esp.Santo,1.61,4.36,9.0,20.47,8.8,127.80,-,-,30,269.526,3.101,0.016,10,6,0.597,3.3509,0.127,3.8,11.25,4.92,448,933,9804,1137,0.015,5.002,0.038,1.194,-,3.501,0.004,1.607,0.597,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun-15,Descarga Bombeo,1.67,4.52,9.1,19.73,9.1,130.13,-,-,70,341.084,46.512,0.020,21,7,0.740,2.1782,0.072,3.3,10.07,4.03,1005,666,27230,14136,0.045,3.414,0.050,1.511,-,2.272,0.060,1.828,0.740,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Torre Superficial,1.00,2.71,9.9,21.07,9.7,141.83,67.1,-,30,35.666,0.000,0.010,13,6,0.353,2.4882,0.077,3.1,52.72,8.23,38205,789,-,-,0.021,4.225,0.011,0.158,-,2.767,-,1.456,0.353,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-15,Torre Media,1.00,2.71,9.3,20.90,9.0,129.30,61.3,-,30,145.147,82.946,0.010,12,7,0.574,2.4014,0.074,3.1,23.10,8.83,23205,333,-,-,0.026,3.627,0.024,0.643,-,2.425,0.107,1.527,0.574,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Torre Profunda,1.00,2.71,8.4,20.33,7.7,109.80,55.3,-,40,140.406,77.519,0.026,15,4,0.573,2.3195,0.076,3.3,23.10,9.24,9305,333,-,-,0.024,4.978,0.022,0.622,-,3.190,0.100,1.488,0.573,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Presa,0.97,2.62,8.3,19.25,6.7,94.75,61.1,-,40,45.147,178.295,0.132,30,6,0.540,2.7763,0.136,4.9,31.99,9.06,14605,333,-,-,0.021,3.395,0.010,0.200,-,2.073,0.230,1.326,0.540,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Potreros,0.78,2.11,10.2,21.13,10.0,145.63,64.2,-,180,5.192,0.000,0.011,22,7,0.258,2.6702,0.081,3.0,44.43,5.33,19505,900,-,-,0.010,3.917,0.005,0.023,-,2.639,-,1.437,0.258,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Palmas-Esp.Santo,0.78,2.11,10.0,20.80,9.9,143.30,69.8,-,210,20.542,0.000,0.015,20,9,0.354,2.5814,0.193,7.5,50.94,6.69,18005,333,-,-,0.027,5.048,-,0.091,-,3.753,-,1.448,0.354,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul-15,Descarga Bombeo,0.72,1.95,10.1,19.87,9.9,141.10,58.1,-,10,18.962,0.000,0.010,18,8,0.300,2.4592,0.079,3.2,77.60,9.89,19105,333,-,-,0.011,3.624,0.009,0.084,-,2.559,-,1.349,0.300,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-15,Torre Superficial,2.00,5.41,7.1,21.17,8.1,117.33,55.2,149.9,20,170.655,0.000,0.018,4,1,0.018,2.0229,0.067,-,15.40,5.75,393,333,38730,583,0.033,3.909,0.028,0.756,-,2.766,-,1.258,0.580,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-15,Torre Media,2.00,5.41,6.6,19.83,6.4,90.03,54.1,166.1,20,209.932,60.465,0.013,11,4,1.049,2.2431,0.076,3.4,4.74,1.48,210,133,-,-,0.029,4.178,0.034,0.930,-,2.921,0.078,1.239,1.049,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-15,Torre Profunda,2.00,5.41,6.7,19.45,4.7,65.80,56.4,159.6,50,183.747,157.364,0.012,15,4,0.727,2.0805,0.078,3.7,0.00,4.98,49,33,-,-,0.028,4.344,0.037,0.814,-,2.957,0.203,1.293,0.727,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-15,Presa,2.15,5.82,6.3,19.84,5.4,77.57,56.9,-50.0,60,136.117,294.574,0.170,13,5,0.796,2.4727,0.135,5.5,5.92,-0.12,153,333,-,-,0.033,3.192,0.024,0.603,-,1.932,0.380,1.453,0.796,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-15,Potreros,2.11,5.71,7.4,21.40,7.9,114.80,53.9,165.3,30,165.237,35.659,0.010,13,5,0.545,2.1899,0.077,3.5,16.59,4.98,250,333,57940,63,0.036,3.96,0.003,0.732,-,2.782,0.046,1.223,0.545,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-15,Palmas-Esp.Santo,1.80,4.87,7.3,21.63,7.9,115.80,60.1,155.5,30,167.269,25.581,0.009,12,4,0.581,2.1542,0.078,3.6,11.85,4.32,230,333,16070,100,0.031,4.915,-,0.741,-,3.312,0.033,1.317,0.581,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
